menu_start_game_0|欢 迎 来 到 维 京 征 服 。 
mno_continue_i|继 续 … … 
mno_continue_cheat|跳 过 教 程 。 
mno_go_back_dot|后 退 。 
menu_start_game_3|选 择 剧 本 ： 
mno_go_back|后 退 
menu_tutorial|你 走 近 一 片 空 地 ， 当 地 人 正 在 这 里 练 习 武 器 。 你 可 以 在 此 训 练 ， 提 升 战 斗 技 巧 。 
mno_continue|继 续 … … 
menu_reports|角 色 声 望 ： {reg5}^荣 誉 级 别 ： {reg6}^部 队 士 气 ： {reg8}^部 队 上 限 ： {reg7}^
mno_resume_travelling|继 续 旅 程 。 
menu_start_phase_2x|后 退 
mno_town_4|继 续 。 
menu_custom_battle_end|战 斗 结 束 。 {s1}你 的 部 队 击 杀 {reg5}名 敌 人 ， 损 失 {reg6}名 士 兵 。 你 亲 手 斩 杀 {reg7}人 。 
menu_start_game_2|欢 迎 来 到 维 京 征 服 。 
menu_start_game_1|欢 迎 来 到 维 京 征 服 。 
menu_start_game_11|退 出 ？ 
menu_start_game_4|你 已 做 出 选 择 ， 游 戏 开 始 后 无 法 更 改 。 是 否 保 留 并 继 续 ？ 
mno_back|后 退 。 
menu_camp|你 扎 下 营 地 。 想 做 些 什 么 ？ 
mno_camp_action|采 取 行 动 。 
mno_camp_wait_here|在 此 稍 候 片 刻 。 
menu_camp_action_rest|扎 营 能 让 部 下 歇 息 片 刻 ， 从 旅 途 劳 顿 中 恢 复 。 还 能 就 地 觅 食 ， 补 充 粮 草 。 深 入 敌 境 、 难 以 购 粮 时 ， 此 法 尤 显 重 要 。 
menu_build_refuge_new|部 下 已 待 命 筑 寨 。 材 料 已 备 齐 ， 若 缺 少 许 ， 可 在 附 近 村 庄 购 得 。 ^^总 花 费 ： 1000 银 便 士 。 ^所 需 时 间 ： 6 小 时 。 
mno_refuge_here|那 就 下 令 。 
menu_camp_cheat|选 择 一 项 作 弊 ： 
mno_camp_cheat_find_item|寻 找 物 品 … … 
mno_testing_cheats|快 速 使 用 作 弊 。 
mno_back_to_camp_menu|返 回 营 地 菜 单 。 
menu_cheat_testing_cheats1|选 择 一 项 作 弊 ： 
menu_storyline_cheat|选 择 一 项 作 弊 ： 
menu_camp_action|选 择 一 项 行 动 ： 
mno_toggle_cheat_on|开 启 作 弊 菜 单 。 
mno_toggle_cheat_off|关 闭 作 弊 菜 单 。 
menu_camp_recruit_prisoners|你 向 俘 虏 提 议 ： 若 愿 投 军 ， 便 赐 其 自 由 。 {s18}
mno_camp_recruit_prisoners_accept|全 部 带 走 。 
mno_camp_recruit_prisoners_half|带 走 一 半 。 
mno_camp_recruit_prisoners_reject|拒 绝 他 们 。 
menu_camp_no_prisoners|你 目 前 没 有 可 招 募 的 俘 虏 。 
menu_camp_action_read_book|选 择 要 阅 读 的 书 ： 
menu_retirement_verify|今 天 是 第 {reg0}天 ， 你 当 前 的 幸 运 值 为 {reg1}。 确 定 要 退 休 吗 ？ 
mno_yes_dot|是 。 
mno_no_dot|不 。 
menu_end_game|去 意 已 决 ， 你 决 定 放 弃 冒 险 者 的 生 活 ， 就 此 安 顿 。 你 卖 掉 武 器 与 盔 甲 ， 收 拢 全 部 钱 财 ， 策 马 奔 向 落 日 余 晖 … … 
mno_end_game_bye|再 会 。 
menu_cattle_herd|你 遇 到 一 群 牛 。 
mno_cattle_drive_away|驱 赶 牛 群 继 续 前 进 。 
mno_cattle_stop|让 牛 群 停 下 休 息 。 
mno_cattle_kill|宰 杀 几 头 牲 口 。 
mno_leave|离 开 。 
menu_cattle_herd_kill|你 想 宰 杀 几 头 ？ 
mno_cattle_kill_1|一 。 
mno_cattle_kill_2|二 。 
mno_cattle_kill_3|三 。 
mno_cattle_kill_4|四 。 
mno_cattle_kill_5|五 。 
mno_cattle_kill_20|二 十 。 
menu_arena_duel_fight|决 斗 极 其 严 肃 ， 尤 其 以 命 相 搏 。 两 人 踏 入 圈 中 ， 唯 有 一 人 能 走 出 … … ^^身 心 同 时 回 应 压 力 与 危 险 。 你 感 到 腋 下 渗 出 冷 汗 ， 那 种 汗 与 冷 热 无 关 ， 是 战 斗 之 汗 ， 它 的 出 现 表 明 … … 你 已 准 备 就 绪 。 
menu_simple_encounter|{s2}你 率 {reg10}名 可 战 之 兵 ， 对 阵 敌 方 {reg11}人 。 ^^{s7}
mno_playerambush_attack|伏 击 进 攻 ！ 
mno_ambush_attack|伏 击 防 守 ！ 
mno_encounter_attack|{s7}敌 军 ！ 
mno_encounter_deploy|战 斗 开 始 后 坚 守 阵 地 。 
mno_encounter_order_attack|坐 镇 指 挥 ， 让 你 的 部 队 进 攻 。 
mno_tactical_nuevo|指 挥 官 的 选 择 。 
mno_encounter_retreat|以 留 下 少 量 部 队 掩 护 为 代 价 撤 退 。 
mno_encounter_surrender|投 降 。 
menu_encounter_retreat_confirm|队 员 中 最 高 战 术 技 能 为 {reg2}级 ， 因 此 {reg3?你 制 定 :{s3}制 定 }了 一 个 计 划 ， 允 许 你 和 大 部 分 士 兵 无 损 撤 退 ， 但 你 必 须 牺 牲 {reg4}名 战 士 来 阻 止 敌 人 追 击 。 
mno_leave_behind|实 行 计 划 ， 牺 牲 那 些 士 兵 ， 拯 救 剩 下 的 部 队 。 
mno_dont_leave_behind|不 ， 我 们 不 会 丢 下 任 何 人 。 
menu_encounter_retreat|你 命 令 {reg4}名 战 士 拖 住 敌 人 ， 自 己 率 余 部 撤 退 。 
menu_order_attack_begin|你 的 部 队 已 做 好 攻 击 准 备 。 
mno_order_attack_begin|下 令 攻 击 。 
mno_call_back|召 回 他 们 。 
menu_order_attack_2|{s4}^^我 军 伤 亡 ： {s8}^^敌 军 伤 亡 ： {s9}
mno_order_attack_continue|继 续 攻 击 。 
mno_order_retreat|让 你 的 士 兵 撤 回 来 。 
menu_battle_debrief|{s11}^^我 军 伤 亡 ： {s8}{s10}^^敌 军 伤 亡 ： {s9}
menu_total_victory|你 不 该 看 到 这 个 … … {s9}
menu_pre_join|你 撞 见 {s2}与 {s1}交 战 ， 你 决 定 … … 
mno_pre_join_help_attackers|前 去 支 援 {s2}。 
mno_pre_join_help_defenders|驰 援 {s1}。 
mno_pre_join_leave|置 身 事 外 。 
menu_join_battle|你 正 协 助 {s2}对 抗 {s1}， 麾 下 {reg10}名 战 士 可 上 阵 ， 敌 军 则 有 {reg11}人 。 
mno_join_attack|{s7}敌 军 ！ 
mno_join_order_attack|命 部 队 支 援 盟 友 ， 你 按 兵 不 动 。 
menu_join_order_attack|{s4}^^我 军 伤 亡 ： {s8}^^盟 军 伤 亡 ： {s9}^^敌 军 伤 亡 ： {s10}
menu_zendar|你 踏 入 Zendar 镇 。 
mno_zendar_enter|【进 入 】
mno_zendar_tavern|【进 入 】
mno_zendar_merchant|【进 入 】
mno_zendar_arena|【进 入 】
menu_salt_mine|你 进 入 盐 矿 。 
mno_enter|进 入 
menu_four_ways_inn|你 抵 达 福 泽 斯 坦 。 
menu_test_scene|你 进 入 测 试 场 景 。 
menu_quarry1|你 来 到 采 石 场 ， 数 名 自 由 民 挥 镐 推 车 ， 叮 当 声 回 荡 。 
menu_salt_mine_vc|你 来 到 盐 矿 ， 数 名 自 由 民 挥 铲 推 车 ， 声 响 不 绝 。 
menu_lumber_camp|你 来 到 伐 木 营 ， 数 名 自 由 民 挥 斧 拉 锯 ， 声 震 林 间 。 
menu_farmstead_special|你 来 到 农 场 。 农 场 出 产 粮 食 ， 此 地 物 价 低 廉 。 ^{s10}
mno_take_cattlefs|牵 走 几 头 牛 。 
menu_hadrian_wall1|你 抵 达 了 哈 德 良 长 城 的 残 垣 断 壁 。 
menu_celidon_forest|眼 前 是 一 处 奇 异 之 地 ， 仿 佛 自 远 古 便 散 发 着 神 秘 气 息 。 
menu_hidden_valley|你 来 到 一 处 陌 生 所 在 ， 看 似 罗 马 废 墟 。 部 下 在 你 身 后 扎 营 ， 你 则 开 始 探 查 … … 
mno_enter_hv|探 查 。 
menu_join_siege_outside|{s1}正 遭 {s2}围 攻 。 
mno_approach_besiegers|靠 近 围 城 营 地 。 
mno_pass_through_siege|穿 过 围 城 线 ， 进 入 {s1}。 
menu_cut_siege_without_fight|围 城 者 未 加 阻 拦 ， 让 你 径 直 来 到 城 门 。 
menu_besiegers_camp_with_allies|{s1}仍 被 围 困 。 围 城 营 地 上 空 飘 扬 着 {s2}的 旗 帜 ， 你 和 部 下 受 到 欢 迎 。 
mno_talk_to_siege_commander|请 求 与 指 挥 官 会 面 。 
mno_join_siege_with_allies|加 入 下 一 轮 攻 城 。 
mno_join_siege_stay_back|坐 镇 指 挥 ， 让 士 兵 自 行 参 与 下 一 轮 攻 城 。 
menu_castle_outside|你 在 {s2}外 。 {s11}{s3}{s4}
mno_approach_gates|走 近 城 门 ， 向 守 卫 喊 话 。 
mno_town_sneak|乔 装 潜 入 {s7}。 
mno_castle_start_siege|围 攻 {reg6?城 镇 :城 堡 }。 
menu_castle_guard|你 靠 近 城 门 ， 墙 上 士 兵 紧 盯 着 你 。 ^^{s10}
mno_request_shelter|请 求 入 城 。 
mno_request_meeting_commander|请 求 与 城 中 某 人 见 面 。 
menu_castle_entry_granted|稍 候 片 刻 ， 守 卫 打 开 城 门 ， 放 你 一 行 入 内 。 
menu_castle_entry_denied|这 座 城 堡 的 领 主 已 下 令 禁 止 你 踏 入 城 墙 一 步 ， 守 卫 队 长 警 告 ， 若 再 靠 近 ， 他 的 手 下 便 会 放 箭 。 
menu_castle_meeting|你 想 见 谁 ？ 
mno_forget_it|算 了 。 
menu_castle_meeting_selected|你 的 会 面 请 求 被 传 了 进 去 ， 最 终 {s6}出 现 在 庭 院 里 ， 与 你 交 谈 。 
menu_port_attack|你 正 在 攻 打 {s1}的 港 口 。 你 麾 下 {reg10}名 战 士 可 投 入 战 斗 ， 敌 军 则 有 {reg11}人 。 
mno_lead_attack|亲 自 率 领 海 岸 突 击 。 
mno_attack_stay_back|坐 镇 后 方 ， 命 令 士 兵 进 攻 … … 
mno_abandon_attack|放 弃 进 攻 。 
menu_castle_besiege|你 正 围 攻 {s4}。 {s2}^^{s15}{s16}{s17}{s18}{s19}{s20}{s21}{s22}
mno_siege_request_meeting|要 求 与 城 堡 指 挥 官 会 面 。 
mno_siege_warfare_p|围 城 战 （ 筹 划 攻 城 ） 。 
mno_siege_assault_p|围 城 战 （ 准 备 突 击 ） 。 
mno_siege_assault_camp|你 的 攻 城 营 地 。 
mno_wait_24_hours|等 到 明 天 。 
mno_lift_siege|放 弃 围 城 。 
menu_siege_plan|你 与 幕 僚 商 议 如 何 以 最 小 伤 亡 夺 取 {s4}。 你 的 策 略 可 以 是 让 饥 饿 与 士 气 低 落 拖 垮 守 军 。 ^^{s15}{s17}{s18}{s19}{s20}
mno_build_circunvalation|围 困 ： 在 {s4}四 周 设 立 哨 卡 。 
mno_close_circunvalation|哨 卡 已 完 工 。 现 在 下 令 严 密 监 视 。 
mno_town_investigar|潜 入 侦 查 防 御 ： 设 法 溜 进 城 内 。 （ 需 追 踪 技 能 ） 
mno_traicion_interna|在 {s4}的 守 军 中 寻 找 内 应 。 
mno_traicion_interna3|派 去 搜 捕 叛 徒 的 人 可 有 消 息 ？ 
mno_infiltracion_interna|派 些 人 潜 入 该 地 。 
mno_infiltracion_interna3|派 去 潜 入 的 人 可 有 消 息 ？ 
mno_build_varios|下 令 修 建 排 污 设 施 以 防 疫 病 。 
mno_destruir_campos_a|劫 掠 农 庄 以 补 充 军 粮 并 打 击 敌 军 。 
mno_destruir_campos_b|派 去 劫 掠 农 庄 的 人 可 有 消 息 ？ 
menu_siege_assault|时 间 紧 迫 ， 你 担 心 援 军 随 时 抵 达 。 强 攻 将 付 出 惨 重 代 价 ， 但 你 已 下 定 决 心 。 ^^{s17}{s18}{s19}
mno_scout_investigar|召 见 斥 候 ， 汇 报 {s4}的 敌 情 。 
mno_poniendo_elementos_mantles|令 先 锋 架 设 挡 箭 牌 。 
mno_poniendo_elementos|令 先 锋 准 备 进 攻 。 
mno_castle_lead_attack|时 辰 已 到 ， 率 领 士 兵 冲 锋 ！ 
mno_build_mantlet|制 作 挡 箭 牌 。 
mno_build_ladders|打 造 器 械 并 清 理 攻 城 场 地 。 
mno_build_siege_tower|建 造 攻 城 塔 等 器 械 以 强 攻 堡 垒 ， 恐 伤 亡 惨 重 。 
menu_siege_attack_meets_sally|守 军 出 城 迎 战 。 
menu_nofood_siege_defenders_sally|粮 尽 援 绝 ， {s4}守 军 孤 注 一 掷 ， 突 围 求 存 。 
menu_surrender_siege_defenders_starved|{s4}的 守 军 已 撑 不 下 去 。 缺 粮 让 他 们 虚 弱 ， 最 弱 的 人 已 饿 死 ， 甚 至 出 现 了 人 相 食 。 ^{s4}准 备 投 降 … … 
menu_castle_attack_walls_simulate2|{s4}^^己 方 伤 亡 ： {s8}^^敌 方 伤 亡 ： {s10}
menu_sneak_into_town_suceeded2|你 乔 装 打 扮 ， 趁 夜 潜 入 {s4}， 是 时 候 探 查 他 们 的 防 御 了 。 
menu_construct_saneamiento|卫 生 设 施 能 防 鼠 患 与 疾 病 。 可 建 厕 所 和 管 道 ， 避 免 雨 后 泥 泞 污 秽 ， 再 挖 蓄 水 池 保 障 水 源 。 要 动 工 吗 ？ ^需 4 小 时 。 
mno_build_saneamiento|动 手 。 
menu_construct_circunvalation|围 城 时 封 锁 据 点 可 保 护 部 队 ， 避 开 敌 军 散 兵 ， 并 切 断 粮 食 与 援 军 。 此 举 还 能 打 击 敌 人 士 气 ， 助 你 逼 降 。 ^^作 为 队 伍 中 工 程 学 最 高 者 （ {reg2}） ， {reg3?你 估 计 :{s3}估 计 }完 成 封 锁 需 {reg4}小 时 。 
mno_build_circun_cont|动 手 。 
menu_traicion_interna2|行 动 。 
mno_intentar_traicion|允 许 这 些 人 去 找 内 应 。 
menu_traicion_resultado1|他 们 空 手 而 归 ， 无 人 愿 意 背 叛 。 
mno_back_behind|真 倒 霉 。 
menu_traicion_resultado2|阁 下 ！ 我 们 的 人 在 {s4}墙 下 被 发 现 ， 正 突 围 而 出 。 看 那 边 的 出 击 口 ， 他 们 想 逃 却 被 包 围 … … 
mno_ayudar_infiltrados|下 令 ： 再 派 一 队 人 马 支 援 。 
mno_leave_men|让 他 们 听 天 由 命 ， 他 们 早 有 觉 悟 。 
menu_traicion_resultado3|你 的 人 回 来 了 。 一 名 内 应 已 焚 毁 粮 仓 ， 即 将 逃 离 {s4}投 奔 我 军 ， 敌 军 将 损 失 大 量 存 粮 。 
mno_back_to_siege|干 得 漂 亮 。 
menu_traicion_resultado4|你 的 人 回 来 了 。 他 们 找 到 一 名 熟 悉 守 军 作 息 的 内 应 ， 此 人 愿 带 小 队 埋 伏 ， 趁 守 军 出 城 取 水 时 袭 击 … … 
mno_atacar_emboscada_player|亲 自 率 贴 身 侍 卫 前 往 。 
mno_atacar_emboscada|下 令 ： 派 一 队 人 马 随 内 应 埋 伏 。 
mno_leave_men1|这 让 我 不 安 ， 就 此 作 罢 。 
menu_emboscada_player|借 草 木 掩 护 ， 你 们 出 其 不 意 ， 战 果 颇 丰 ， 守 军 再 不 敢 轻 易 出 城 。 
mno_victory_bang|胜 利 ！ 
menu_emboscada_nada|你 的 人 借 植 被 掩 护 避 开 城 墙 视 线 ， 抵 达 会 合 点 却 空 无 一 人 。 那 名 内 应 或 被 发 现 ， 或 已 反 悔 ， 士 兵 失 望 而 归 。 
mno_emboscada_nanai|别 急 ， 还 会 有 机 会 。 
menu_emboscada_lose|急 报 ！ 有 诈 ！ 那 名 所 谓 内 应 把 你 的 人 引 入 伏 击 ， 他 们 正 绝 望 苦 战 ， 不 断 有 人 倒 下 。 
mno_regreso_lucha|你 最 担 心 的 事 还 是 发 生 了 。 
menu_emboscada_victory|叛 徒 带 着 你 的 人 趁 夜 摸 到 一 座 小 山 ， 那 里 扼 守 着 通 往 水 井 的 道 路 。 你 的 人 隐 入 草 木 ， 无 声 无 息 ， 脸 上 涂 满 黑 泥 。 拂 晓 时 分 ， 他 们 发 现 水 边 有 一 大 股 敌 军 。 ^^战 吼 响 彻 山 谷 ， 你 的 士 兵 如 死 亡 潮 水 般 扑 向 敌 人 … … 斩 杀 无 数 。 
menu_traicion_resultado5|部 下 回 报 ， 他 们 联 络 到 一 名 掌 管 粮 饷 的 人 ， 那 人 答 应 抬 高 城 内 粮 价 ， 激 起 民 怨 ， 让 更 多 人 弃 堡 而 去 。 
mno_traicion_moral|漂 亮 ！ 
menu_traicion_lucha|你 的 人 与 敌 军 在 墙 根 死 战 ， 地 势 对 你 们 极 为 不 利 。 你 看 着 他 们 边 打 边 退 ， 尸 横 遍 地 。 ^^己 方 伤 亡 ： {s8}^^敌 方 伤 亡 ： {s10}
mno_regreso_luchar|好 ， 绝 不 丢 下 任 何 一 个 人 。 
menu_infiltracion_resultado1|他 们 空 手 而 回 ， 没 能 混 进 聚 落 。 
mno_back_behindi|只 是 运 气 不 好 ， 我 想 。 
menu_infiltracion_resultado2|阁 下 ！ 我 们 的 人 在 {s4}被 发 现 ， 无 人 生 还 ， 不 是 被 杀 就 是 被 俘 。 
mno_muertos_infiltrado|晴 天 霹 雳 。 
menu_infiltracion_resultado3|捷 报 ！ 他 们 烧 毁 多 处 粮 仓 ， 敌 军 士 气 大 跌 。 或 许 该 逼 他 们 投 降 了 。 
mno_back_to_siegei|好 吧 ， 给 他 们 一 桶 蜜 酒 。 
menu_infiltracion_resultado3_c|捷 报 ！ 他 们 宰 了 不 少 牛 ， 又 污 染 水 源 ， 敌 军 士 气 低 落 ， 其 领 主 声 望 受 损 。 或 许 该 逼 他 们 投 降 了 。 
mno_back_to_siegein|好 吧 ， 给 他 们 一 桶 蜜 酒 。 
menu_infiltracion_resultado4|好 吧 ， 给 他 们 一 桶 酒 。 
mno_aceptar_si|欢 迎 他 们 加 入 。 
menu_infiltracion_resultado4_c|你 的 部 队 回 报 ， 他 们 已 在 几 口 井 和 附 近 溪 流 投 毒 ， 守 军 必 有 大 片 病 倒 。 
mno_aceptar_oki|好 消 息 ， 守 墙 的 人 会 更 少 。 
menu_infiltracion_resultado5|阁 下 ， 敌 人 送 来 一 袋 人 头 ， 不 少 士 兵 看 见 ， 营 中 人 心 惶 惶 。 
mno_infiltracion_morali|懦 夫 ！ 区 区 几 颗 人 头 就 能 吓 垮 大 军 ？ 他 们 是 牛 还 是 人 ？ 
mno_infiltracion_morali2|为 我 们 受 的 侮 辱 报 仇 ！ 
menu_campos_cercanos1|{reg59?女 士 :先 生 }， 庄 稼 和 农 场 都 被 烧 了 ， 可 眼 下 并 非 收 获 季 ， 没 能 弄 到 粮 食 。 
mno_back_behind_d|干 得 好 ， 不 必 担 心 。 
menu_campos_cercanos2|{reg59?女 士 :先 生 }， 庄 稼 和 农 场 都 被 烧 了 ， 又 恰 逢 收 获 季 ， 我 们 缴 获 了 大 量 粮 食 。 
mno_back_behind_c|干 得 好 ， 粮 食 永 远 不 嫌 多 。 
menu_campos_cercanos2_c|{reg59?女 士 :先 生 }， 庄 稼 和 农 场 都 被 烧 了 ， 谷 粒 尚 青 ， 却 还 能 吃 ， 我 们 弄 到 了 不 少 粮 食 。 
mno_back_behind_cc|干 得 好 ， 粮 食 永 远 不 嫌 多 。 
menu_campos_cercanos3|{reg59?女 士 :先 生 }， 我 们 焚 毁 了 田 野 ， 但 收 获 已 过 ， 田 里 颗 粒 无 存 。 不 过 ， 农 民 逃 跑 时 留 下 了 一 些 牛 。 
mno_back_behind_bc|粮 食 永 远 不 嫌 多 。 
menu_campos_cercanos4|我 们 遇 到 麻 烦 。 田 野 虽 被 焚 毁 ， 农 民 却 在 守 军 支 援 下 反 击 。 ^^己 方 伤 亡 ： {s8}^^敌 方 伤 亡 ： {s10}
mno_back_behind_ac|噩 耗 ！ 
menu_poner_escaleras|你 的 先 锋 带 着 云 梯 、 挡 箭 牌 、 铁 锹 等 攻 城 器 械 前 进 … … 一 队 弓 弩 手 列 阵 而 出 ， 吸 引 敌 军 火 力 ， 你 的 心 脏 在 胸 腔 里 狂 跳 。 不 知 为 何 ， 每 一 场 仗 都 像 第 一 次 。 ^刺 激 、 恐 惧 与 汗 水 ， 一 如 既 往 。 士 兵 们 结 成 盾 阵 自 保 … … ^^己 方 伤 亡 ： {s8}^^敌 方 伤 亡 ： {s10}
mno_back_behind_esc1|你 的 部 队 已 与 敌 军 接 战 ， 轮 到 你 出 手 了 … … 
menu_poner_escaleras_mantlets|你 的 先 锋 带 着 云 梯 、 挡 箭 牌 、 铁 锹 等 攻 城 器 械 前 进 … … 一 队 弓 弩 手 在 挡 箭 牌 掩 护 下 列 阵 ， 吸 引 敌 军 火 力 ， 你 的 心 脏 在 胸 腔 里 狂 跳 。 不 知 为 何 ， 每 一 场 仗 都 像 第 一 次 。 ^刺 激 、 恐 惧 与 汗 水 ， 一 如 既 往 。 士 兵 们 结 成 盾 阵 ， 挡 箭 牌 又 救 下 不 少 性 命 。 ^^己 方 伤 亡 ： {s8}^^敌 方 伤 亡 ： {s10}
mno_back_behind_esc2|你 的 部 队 已 与 敌 军 接 战 ， 轮 到 你 出 手 了 … … 
menu_informacion_ciudad|一 名 斥 候 来 到 你 面 前 ： “ {s11}^{s12}{s1}{s5}{s17}” 
mno_regreso_luchain|多 谢 ， 你 的 情 报 至 关 重 要 ！ 
menu_build_mantles2|使 用 攻 城 器 械 时 ， 挡 箭 牌 能 护 住 士 兵 ， 救 下 许 多 性 命 。 作 为 队 伍 中 工 程 学 最 高 者 （ {reg2}） ， {reg3?你 估 计 :{s3}估 计 }造 好 挡 箭 牌 需 {reg4}小 时 。 
mno_build_mantles|动 手 。 
menu_construct_ladders|作 为 队 伍 中 工 程 学 技 能 最 高 者 （ {reg2}） ， {reg3?你 估 计 :{s3}估 计 }需 要 {reg4}小 时 才 能 造 齐 进 攻 所 需 的 装 备 。 
mno_build_ladders_cont|动 手 。 
menu_construct_siege_tower|作 为 队 伍 中 工 程 学 技 能 最 高 者 （ {reg2}） ， {reg3?你 估 计 :{s3}估 计 }建 造 攻 城 塔 及 其 他 进 攻 器 械 将 耗 时 {reg4}小 时 。 
mno_build_siege_tower_cont|开 始 建 造 。 
menu_castle_attack_walls_simulate|{s4}^^己 方 伤 亡 ： {s8}^^敌 方 伤 亡 ： {s10}
menu_castle_attack_walls_with_allies_simulate|{s4}^^我 军 伤 亡 ： {s8}^^盟 军 伤 亡 ： {s9}^^敌 军 伤 亡 ： {s10}
menu_castle_taken|{s60}的 战 斗 已 近 尾 声 ， 你 的 士 兵 迫 不 及 待 要 洗 劫 这 座 {reg2?城 镇 :堡 垒 }。 {s10}你 也 可 以 只 往 钱 袋 里 装 一 点 就 离 开 ， 把 被 劫 之 地 留 给 敌 人 。 最 后 ， 你 还 可 以 彻 底 摧 毁 此 地 ， 尽 可 能 掠 夺 一 切 、 奴 役 居 民 ， 让 它 对 原 主 人 毫 无 价 值 。 
mno_saqueo_noallowed|攻 下 这 座 {reg2?城 镇 :堡 垒 }， 但 禁 止 劫 掠 。 
