menu_start_game_0|欢迎来到维京征服世界（游戏版本V2.064）。
mno_continue_i|继续……
mno_continue_cheat|跳过教程。
mno_go_back_dot|后退。
menu_start_game_3|选择剧本
mno_go_back|后退
menu_tutorial|你进入了训练场，不少当地人都在里面进行着武器的训练。在这里你可以通过各种训练来提高你的战斗技巧。
mno_continue|继续……
menu_reports|角色声望：{reg5}^荣誉级别：{reg6}^部队士气：{reg8}^部队上限：{reg7}^
mno_resume_travelling|继续旅程。
menu_start_phase_2x|后退
mno_town_4|继续
menu_custom_battle_end|战斗结束，在这场战斗中，{s1}你的队伍杀死了{reg5}人，敌人的队伍杀死了{reg6} ，你杀死了{reg7}人。
menu_start_game_2|欢迎来到维京征服世界
menu_start_game_1|欢迎来到维京征服世界
menu_start_game_11|退出？
menu_start_game_4|你已经做出了一些选择。你在冒险开始后将无法改变。你仍然坚持你的选择开始你的冒险吗？
menu_camp|营地已经建好了，你想要做什么？
mno_camp_action|干点事情。
mno_camp_wait_here|在这里待一会儿。
menu_camp_action_rest|扎营允许你的士兵从长途跋涉中得到休息，也允许你搜寻食物来补充库存粮草。这一点在你进入敌人领地时非常有用，因为你将难以购买补给。
menu_build_refuge_new|你的士兵等待你下令开始建立避难所。现在有足够的材料，并且缺失的材料可以在附近村庄购买。^^总成本：1000先令。^需要时间：6小时。
mno_refuge_here|是的。
menu_camp_cheat|选择作弊项目：
mno_camp_cheat_find_item|查找一件物品……
mno_testing_cheats|使用作弊代码。
mno_back_to_camp_menu|回到宿营菜单。
menu_cheat_testing_cheats1|选择一个作弊效果。
menu_storyline_cheat|选择一项作弊：
mno_back_cm|后退。
menu_camp_action|选择你要做的事：
mno_toggle_cheat_on|作弊目录开启。
mno_toggle_cheat_off|作弊目录关闭。
mno_camp_action_4|退回营地菜单。
menu_camp_recruit_prisoners|你答应这些俘虏，如果他们加入你的话，你就给予他们自由。{s18}
mno_camp_recruit_prisoners_accept|接受。
mno_camp_recruit_prisoners_half|招降一半。
mno_camp_recruit_prisoners_reject|拒绝。
menu_camp_no_prisoners|你没有俘虏可以招降。
menu_camp_action_read_book|选一本书读：
menu_retirement_verify|现在总共冒险的时间是{reg0}天，运气是{reg1} 。你确实想要从这场冒险中退出吗？
mno_yes_dot|是的。
mno_no_dot|不。
menu_end_game|去意已决，你决定放弃冒险者的生活，并定居下来。你卖掉了所有的武器与护甲，收拾起行囊，策马奔向夕阳的余辉之中……
mno_end_game_bye|再会。
menu_cattle_herd|你遇到了一群牛。
mno_cattle_drive_away|驱赶他们。
mno_cattle_stop|让牛群停下休息。
mno_cattle_kill|屠宰其中的一些。
mno_leave|离开
menu_cattle_herd_kill|你想屠宰几头？
mno_cattle_kill_1|一。
mno_cattle_kill_2|二。
mno_cattle_kill_3|三。
mno_cattle_kill_4|四。
mno_cattle_kill_5|五。
mno_cattle_kill_20|二十。
menu_arena_duel_fight|决斗是件非常严肃的事情，尤其是到一方死亡为止。两个人进入决斗场，但是只有一个可以走出来……^^身心要同时对压力和危机做出反应。你感觉你的腋下在出冷汗，那种出汗的感觉和冷热完全无关，那是战斗的汗水，同时预示着……你已经准备好了。
menu_simple_encounter|{s2}你将以{reg10}人的部队迎战对手{reg11}人。^^{s7}
mno_playerambush_attack|伏击敌人！
mno_ambush_attack|被伏击！
mno_encounter_attack|{s7}向敌人发起冲锋！
mno_encounter_deploy|战斗开始后坚守阵地。
mno_encounter_order_attack|坐镇指挥，让你的部队进攻。
mno_tactical_nuevo|指挥官的选择。
mno_encounter_leave|离开。
mno_encounter_retreat|以留下少量部队掩护为代价撤退。
mno_encounter_surrender|投降。
menu_encounter_retreat_confirm|队员中最高战术技能为{reg2}级，因此{reg3?你制定:{s3}制定}了一个计划，允许你和大部分士兵可以无损地撤退，但是你必须牺牲{reg4}个战士来阻止敌人追击。
mno_leave_behind|实行计划，牺牲那些士兵，拯救剩下的部队。
mno_dont_leave_behind|不，我们不会牺牲任何一个战友。
menu_encounter_retreat|你命令{reg4}名战士负责在大部队撤退的时候拖住敌人前进的步伐。
menu_order_attack_begin|你的部队已经做好了战斗准备。
mno_order_attack_begin|下令攻击。
mno_call_back|后撤。
menu_order_attack_2|{s4}^^我军人员伤亡：{s8}^^敌军人员伤亡：{s9}
mno_order_attack_continue|继续攻击。
mno_order_retreat|让你的士兵撤回来。
menu_battle_debrief|{s11}^^我军伤亡：{s8}{s10}^^敌军伤亡：{s9}
menu_total_victory|你不该看这个……{s9}
menu_pre_join|你遇到{s2}正在攻击{s1} ，你决定……
mno_pre_join_help_attackers|对{s2}施以援手。
mno_pre_join_help_defenders|对{s1}施以援手。
mno_pre_join_leave|不卷入纷争。
menu_join_battle|你决定帮助{s2}对抗{s1} ，你将有{reg10}名士兵参加战斗对抗{reg11}个敌人。
mno_join_attack|攻入敌阵！
mno_join_order_attack|仅仅让你的士兵加入你的盟友。
mno_join_leave|离开。
menu_join_order_attack|{s4}^^我军伤亡：{s8}^^盟军伤亡：{s9}^^敌军伤亡：{s10}
menu_zendar|你进入了禅达镇。
mno_zendar_enter|【 进入】 
mno_zendar_enter_door|去镇广场。
mno_zendar_tavern|【 进入】 
mno_zendar_tavern_door|进入酒馆。
mno_zendar_merchant|【 进入】 
mno_zendar_merchant_door|进入商店。
mno_zendar_arena|【 进入】 
mno_zendar_arena_door|进入竞技场。
mno_town_1_leave|【 进入】 
menu_salt_mine|你进入了盐矿。
mno_enter|进入
menu_four_ways_inn|你进入了四方客栈。
menu_test_scene|你进入了测试场景。
menu_quarry1|你到达了采石场，一些奴隶在工作，空气中响彻着手推车和凿子的声音。
mno_enterqu|进入。
mno_leavequ|离开。
menu_salt_mine_vc|你到达了盐矿，一些奴隶在工作，空气中响彻着手推车和铁锹的声音。
mno_enter_sm|进入。
mno_leave_sm|离开。
menu_lumber_camp|你到达了伐木场，一些奴隶在工作，空气中响彻着斧头和锯子的声音。
mno_enter_lc|进入。
mno_leave_lc|离开。
menu_farmstead_special|你到达了农场。农场是 食物的来源，所以这里的东西很便宜。^{s10}
mno_take_cattlefs|带走一部分牛。
mno_enter_fs|进入。
mno_leave_fs|离开。
menu_hadrian_wall1|你到达了哈德良长城的遗址。
mno_enter_hw|进入。
mno_leave_hw|离开。
menu_celidon_forest|在你面前出现的是一个陌生的地方，那里散发着来自古代的神秘能量。
mno_enter_ce|进入。
mno_leave_ce|离开。
menu_hidden_valley|你到达了一处陌生的地方，这里似乎是罗马废墟。你的部队在后方搭起了营帐，而你开始了探险……
mno_enter_hv|探寻。
mno_leave_hv|离开。
menu_join_siege_outside|{s1}正被{s2}围攻。
mno_approach_besiegers|进入围城营地。
mno_pass_through_siege|穿过围城进入{s1} 。
menu_cut_siege_without_fight|围城方放你进入了城堡。
menu_besiegers_camp_with_allies|{s1}依然被围困中，你和你的部队在上空飞扬着{s2}的旗帜的围城营地那里被热烈的欢迎了。
mno_talk_to_siege_commander|要求和指挥官会面。
mno_join_siege_with_allies|加入下一轮的攻城。
mno_join_siege_stay_back|坐镇指挥，让你的部队协助下一轮的攻城。
menu_castle_outside|你在{s2}的外面。{s11}{s3}{s4}
mno_approach_gates|走近城门，叫守卫出来。
mno_town_sneak|伪装，偷偷溜进{s7}里去。
mno_castle_start_siege|围攻{reg6?城镇:城堡}
mno_castle_leave|离开。
menu_castle_guard|你走近了城门。城墙上的守卫正紧盯着你。^^{s10}
mno_request_shelter|要求进入城堡。
mno_request_meeting_commander|要求和城堡中的某人会面。
mno_guard_leave|离开。
menu_castle_entry_granted|简短的等待之后，守卫打开了城门，允许你和你的部队进入城中。
menu_castle_entry_denied|城堡中的指挥官拒绝了你的请求，禁止你走近城池一步，否则守军就会向你发起攻击。
menu_castle_meeting|你想要见谁？
mno_forget_it|算了。
menu_castle_meeting_selected|你的会面请求被传递上去了，最终{s6}出现在你面前与你进行交涉。
menu_port_attack|你正在攻击{s1}的港口。你将有{reg10}名士兵参加战斗对抗{reg11}个敌人。
mno_lead_attack|亲自率领攻城。
mno_attack_stay_back|坐镇指挥，让你的部队攻击……
mno_abandon_attack|放弃攻击。
mno_lift_siege|放弃围城。
menu_castle_besiege|你已经在围攻{s1} 。{s2}^^{s15}{s16}{s17}{s18}{s19}{s20}{s21}{s22}
mno_siege_request_meeting|要求和城堡的指挥官会面。
mno_siege_warfare_p|围城战(计划攻城) 。
mno_siege_assault_p|围城战(准备突击) 。
mno_siege_assault_camp|你的攻城营地。
mno_wait_24_hours|等到明天。
menu_siege_plan|你和参谋们计划以最小的代价攻下{s4} ，你的策略是利用饥荒和内乱削弱敌人。^^{s15}{s17}{s18}{s19}{s20}
mno_build_circunvalation|围困：环绕{s4}建立围城工事。
mno_close_circunvalation|工事已经修建完成。现在围困开始了。
mno_town_investigar|潜入侦查这个地区的防御。追踪能力将发挥作用。
mno_traicion_interna|试图寻找{s4}中的内应。
mno_traicion_interna3|潜入城中寻找内应的人有什么消息了吗？
mno_infiltracion_interna|派一些人渗透进去，破坏守备。
mno_infiltracion_interna3|渗透城中进行破坏的部队有什么消息了吗？
mno_build_varios|命令建立卫生设施以防止瘟疫。
mno_destruir_campos_a|坚壁清野以削弱敌人。
mno_destruir_campos_b|派去坚壁清野的部队有什么消息了吗？
menu_siege_assault|时间就是生命，你担心敌人的增援可能随时到达。攻城为下，但你已别无选择。^^{s17}{s18}{s19}
mno_scout_investigar|召见奉命去侦查{s4}的斥候。
mno_poniendo_elementos_mantles|命令先锋使用挡箭牌推进，并准备发动总攻。
mno_poniendo_elementos|准备突击用具并准备发动总攻。
mno_castle_lead_attack|这一刻终于来临了，率领你的士兵突击！顶着横飞的血肉和刀光剑影前进吧……
mno_build_mantlet|制作挡箭牌。
mno_build_ladders|搭建器械并准备地点去突击。
mno_build_siege_tower|建造冲车登城作战。请做好伤亡的心理准备。
menu_siege_attack_meets_sally|守城方派了部队来对你进行还击。
menu_nofood_siege_defenders_sally|食物短缺迫使{s4}的守军孤注一掷，他们冲出城门试图突围。
menu_surrender_siege_defenders_starved|{s4}的守军已经精疲力竭了，粮草断绝使他们虚弱不堪，许多弱者已经饿死了，城内甚至出现了人相食的惨状。^{s4}准备开城投降了……
menu_castle_attack_walls_simulate2|{s4}^^己方伤亡：{s8}^^敌方伤亡：{s9}
menu_sneak_into_town_suceeded2|乔装打扮，趁着漆黑的夜色，你潜入了防守严密的{s4} 。现在该好好侦查他们的守备了。
menu_construct_saneamiento|卫生设施可以很好地避免鼠害和疾病。建立公厕和污水渠来防止污物的堆积和雨水带来的秽物，同时修建贮水池以获得可靠的供水。是否动工？^将花费4小时。
mno_build_saneamiento|行动。
menu_construct_circunvalation|在围城过程中封锁一个区域以保护你的军队，防止敌人实施游击作战，并且阻止粮草补给进入城内。这同样会降低敌人的士气，增加劝降的筹码。^^根据队伍成员中的最高工程学能力，({reg2}) ，{reg3?你估计:{s3}预计}对这个区域进行完全封锁需要花费{reg4}小时。
mno_build_circun_cont|行动。
menu_traicion_interna2|你的围困行动削弱了敌人，你的一些部下想要联系{s4}的守军和居民，希望找到愿意投诚并协助破城的内应。他们需要500先令来执行这个任务。
mno_intentar_traicion|允许这些人去寻找内应。
menu_traicion_resultado1|他们带回了消息，没有人愿意背叛。
mno_back_behind|无妨，其忠义可嘉。
menu_traicion_resultado2|阁下！我们的人在{s4}的城墙边上被敌人发现了，就在那个吊桥的位置。他们试图撤回，但被包围了……
mno_ayudar_infiltrados|下令：派出一支增援部队营救。
mno_leave_men|让他们听天由命，军人要做好随时牺牲的准备。
menu_traicion_resultado3|你的人带回了消息，一个内应声称他将点燃城内的库房{s4}而且来投奔你的军队。敌人将会因此而损失一些粮草和牲畜。
mno_back_to_siege|干得漂亮。
menu_traicion_resultado4|你的人带回了消息，他们说一个内应声称他熟悉守军巡逻的路线。当他们到城墙外的一条小溪取水的时候，他很愿意带路去伏击巡逻队……
mno_atacar_emboscada_player|带领你的贴身侍卫去执行这个任务。
mno_atacar_emboscada|派遣一支部队和内应执行埋伏任务。
menu_emboscada_player|以植被做掩护，你的行动震惊了敌人而且收益颇丰。现在守军在派遣队伍出城之前要三思而后行了。
mno_victory_bang|行动胜利！
menu_emboscada_nada|以植被做掩护，队伍避开了城墙上来回巡视的目光，但是当他们到达预定的集合地点时，没有人出现。这名内应可能被发现或退缩了，你的士兵失望地归来。
mno_emboscada_nanai|不要担心，机会有的是。
menu_emboscada_lose|急报！中计了！这名所谓的内应带领你的部队进入了敌人的伏击圈，他们正绝望地抵抗，不断有人倒下。
mno_regreso_lucha|你最担心的事情发生了。
menu_emboscada_victory|内应带领着你的人趁着夜色来到了一座小山上，这里控制着前往水井的道路。你的人在植被的掩护中展开了队形，他们隐藏于寂静与黑暗中。终于在破晓时分，一支人数众多的敌军出现于视线之内。^^喊杀声响彻山坳的同时，你的士兵如裹挟着死神的潮水一般涌向敌人……杀伤无数。
menu_traicion_resultado5|当你的部队返回的时候，他们告诉你联系上了一位掌握补给的军士，他承诺将抬高补给品的价格，以迫使更多的居民逃离据点。
mno_traicion_moral|漂亮！
menu_traicion_lucha|你的部队和敌人在城墙的脚下拼死作战，而且所有条件都不利于你们。你看到手下被逼撤退到自己面前，丢下许多尸首。^^己方伤亡：{s8}^^敌方伤亡：{s9}
mno_regreso_luchar|好，绝不丢下任何一个人。
menu_infiltracion_resultado1|他们没有带回新消息，据点守备严密，难以突破。
mno_back_behindi|只是运气不好，我想。
menu_infiltracion_resultado2|阁下！我们的人在{s4}的城墙脚下被发现了，而且已经全军覆没了。
mno_muertos_infiltrado|晴天霹雳。
menu_infiltracion_resultado3|捷报！他们烧毁了不少粮草，敌人陷入了混乱。也许这是一个让他们投降的好机会。
mno_back_to_siegei|好吧，给他们一桶酒。
menu_infiltracion_resultado3_c|捷报！他们杀掉了不少牲畜并破坏了储水设施。敌人陷入了混乱，而且他们的领主损失了部分声望。也许这是一个让他们投降的好机会。
mno_back_to_siegein|好吧，给他们一桶酒。
menu_infiltracion_resultado4|你的部队带回了消息，他们说一些士兵心怀不满，而且一些人被说服投诚到我方军队。如果你同意的话，他们将在夜里离开城池加入你的军队。在他们离开之前，他们承诺将制造一些混乱来瓦解敌军斗志，使之更容易投降。
mno_aceptar_si|欢迎投诚士兵的加入。
mno_leave_men1|这让我感到不安。忘记它。
menu_infiltracion_resultado4_c|你的部队带回了消息，他们说已经在一些水井和附近的溪流中撒下毒药，这应该能够让不少的守军生病。
mno_aceptar_oki|这是个好消息，这样将大大削减守军的有生力量。
menu_infiltracion_resultado5|噢，长官，敌人送来了个装着我们士兵人头的袋子。许多士兵看到了，恐慌在营帐间蔓延。
mno_infiltracion_morali|懦夫！几个人头就把他们吓成这样？他们是牲口还是战士？
mno_infiltracion_morali2|我们要报仇雪恨！
menu_campos_cercanos1|长官，谷物和农场已经被烧毁了，但因为这不是收获的季节，所以并没有找到太多补给。
mno_back_behind_d|干得好，不用担心。
menu_campos_cercanos2|长官，谷物和农场已经被烧毁了，而且因为这是收获的季节，所以我们找到了大量的食物。
mno_back_behind_c|干得好，食物总是宝贵的资源。
menu_campos_cercanos2_c|长官，谷物和农场已经被烧毁了，地里的庄稼还是青茬，但可以食用，我们找到了很多食物。
mno_back_behind_cc|干的好，食物永远是受欢迎的。
menu_campos_cercanos3|长官，我们烧毁了农田，但是收获季节已经过去了，所以没找到多少食物。不过，农民们在逃走前落下了一些牲畜。
mno_back_behind_bc|食物总是宝贵的资源。
menu_campos_cercanos4|我们遇到了抵抗，农田已被烧毁，但是农民在守军的支援下杀了回来。^^己方伤亡：{s8}^^敌方伤亡：{s9}
mno_back_behind_ac|师出不利！
menu_poner_escaleras|你的先锋带着云梯，挡箭牌，铲子等攻城器械前进着……一队装备着远程武器的士兵走到了前方，吸引敌人的火力，你的心脏在体内狂跳不止，似乎每次战斗都像初次上阵一样。^刺激，恐惧和汗水交织，一如既往。你见证了你的士兵是如何组成了盾阵攻上了城墙……^^己方伤亡：{s8}^^敌方伤亡：{s9}
mno_back_behind_esc1|你的队伍遇到敌人，现在……
menu_poner_escaleras_mantlets|你的先锋带着云梯，挡箭牌，铲子等攻城器械前进着……一队装备着远程武器的士兵走到了前方，在挡箭牌的掩护下，吸引敌人的火力……你的心脏在体内狂跳不止，似乎每次战斗都像初次上阵一样。^刺激，恐惧和汗水交织，一如既往。你见证了你的士兵是如何组成了盾阵攻上了城墙……挡箭牌掩护了很多士兵，保住了他们的性命。^^己方伤亡：{s8}^^敌方伤亡：{s9}
mno_back_behind_esc2|你的队伍遇到敌人，现在……
menu_informacion_ciudad|斥候在你的面前停了下来：'{s11}^{s12}{s1}{s5}{s17}
mno_regreso_luchain|谢谢你。你给的信息很重要！
menu_build_mantles2|在你的先锋使用攻城器械的时候，挡箭牌将保护他们免受城头火力的伤害。根据队伍成员中的最高工程学能力，({reg2}) ，{reg3?你预计:{s3}预计}要花费{reg4}小时来建造挡箭牌。
mno_build_mantles|开始建造。
menu_construct_ladders|根据队伍成员中的最高工程学能力({reg2}) ，{reg3?你预计:{s3}预计}将要花费{reg4}小时来准备足够的装备用于突击。
mno_build_ladders_cont|继续……
menu_construct_siege_tower|根据队伍成员中的最高工程学能力，({reg2}) ，{reg3?你预计:{s3}预计}用来建立攻城塔而其他用来突击的装备则需要{reg4}小时。
mno_build_siege_tower_cont|开始建造。
menu_castle_attack_walls_simulate|{s4}^^己方伤亡：{s8}^^敌方伤亡：{s9}
menu_castle_attack_walls_with_allies_simulate|{s4}^^我军伤亡：{s8}^^盟军伤亡：{s9}^^敌军伤亡：{s10}
menu_castle_taken|{s60}的战斗已经接近尾声，你的手下们已经对即将到来的劫掠{reg2?城镇:城堡} 跃跃欲试了。{s10}^如果你想要将其纳入自己的阵营，你可以选择禁止士兵毁坏{reg2?城镇:城堡} 。你也可以充实下你的钱包，劫掠一番弃之而去。最后，你也可以完全毁灭这个地方，这样可以获得尽可能多的东西，奴役当地的居民，并摧毁其之于敌人的价值。
mno_saqueo_noallowed|攻下这座{reg2?城镇:城堡} 后禁止手下掠夺。
mno_keep_plunder|征服与掠夺{reg2?城镇:城堡} 。
mno_saqueo_normal|洗劫这座{reg2?城镇:城堡} ，然后离开。
mno_saqueo_total|毁灭这个地方，屠杀居民。
menu_castle_taken_plunder|{reg2?城镇:城堡}被洗劫了，你收集到了{reg7} 先令。
menu_castle_taken_native|你的部队攻陷了{s3} ，现在你已经完全地掌控了这个{reg2?城镇:城堡} 。{reg1?你可以在这里驻军以防那些打算重新夺回它的敌军。同时，你可以选择保留这座{reg2?城镇:城堡}给自己或者分封给某个忠诚的部下……: }
menu_castle_taken_keepplunder|{s3} 面对你的军队后溃不成军，而你现在拥有了{reg2?城镇:城堡}的全面控制。你的士兵们在街道上掠夺着尽可能多的东西。{reg2?城镇:城堡} 已经被掠夺。你获得了{reg7} 先令。{reg1?你可以驻扎士兵在此地以防止敌人重新占领它。而且，现在你可以选择为自己保留{reg2?城镇:城堡} 或者把它给予一位忠心的下属……:}
menu_castle_taken_2|你的部队攻陷了{s3} ，现在你已经完全地掌控了这个城堡。现在应该把这个胜利的消息告诉给{s9}了。{s5}
mno_castle_taken_claim|要求他把{s3}封给你。
mno_castle_taken_claim_2|要求他把{s3}封配为你的{reg59?丈夫:妻子} 。
mno_castle_taken_no_claim|什么也不要求。
menu_saqueo_loot_continue|这个地方已经被掠夺过了。
menu_requested_castle_granted_to_another|你从国王{s3}那里得到通知。^^我听说你很英勇地战斗并把{s2}给攻下来了。你的胜利极大的鼓舞了我们。你说过你想要我把这个地方封给你，但恐怕我并不能同意你的要求，因为在我统治的范围内，你已经有了封地。所以我送你{reg6} 先令作为你的军费开支，而{s2} ，我把它封给{s5}了。
mno_accept_decision|接受你的君主的决定。
mno_leave_faction|你遭到了不公的待遇了！背弃你对君主的誓言！
menu_requested_castle_granted_to_another_female|你从国王{s3}那里得到通知。^^我听说你很英勇地战斗并把{s2}给攻下来了。你的胜利极大的鼓舞了我们。你说过你想要我把这个地方封给你，但恐怕我并不能同意你的要求，因为在我统治的范围内，你已经有了封地。所以我送你{reg6} 先令作为你的军费开支，而{s2} ，我把它封给{s5}了。？
mno_accept_decision2|接受决定。
menu_leave_faction|放弃誓言是一件很严重的事情。你的君主将宣判你有罪，并没收你的土地与城堡。如果你自愿交出你的土地与城堡，他也许会饶恕你，放你走。
mno_leave_faction_give_back|我交出我的土地与城堡给我的君主，但是我放弃我的誓言。
mno_leave_faction_hold|我放弃我的誓言。并以自己的名义占有我的城堡，包括{s2} 。
mno_leave_faction_cancel|我改变主意了。我还是对我的君主效忠。
menu_give_center_to_player_2|短暂的仪式之后，你已受封新封地。你现在是{s2}{reg3?和从属的{s4}村:}的领主。{reg3?它们:它}会成为你新的封地。你可以在这里横征暴敛，大拉壮丁，但你也得保证这里的安全和秩序。
menu_oath_fulfilled|你发誓为{s1}服务一段时间。你的誓言已经完结了，你准备怎么办？
mno_renew_oath|继续向{s1}发誓，再服务一个月。
mno_dont_renew_oath|恢复自由身。
menu_siege_started_defender|{s1}正在攻击{s2}的城墙。你有{reg10}人可以参战对抗敌人的{reg11}人。你决定……
mno_siege_defender_join_battle|参加战斗。
mno_siege_defender_troops_join_battle|坐镇指挥，让你的部队攻击。
menu_siege_join_defense|{s4}^^我军伤亡：{s8}^^盟军伤亡：{s9}^^敌军伤亡：{s10}
menu_village|{s10}{s12}^{s11}^{s6}{s7}^^{s15}
mno_village_manage|管理这个村庄。
mno_recruit_volunteers|征募志愿兵。
mno_village_center|前往村中心。
mno_village_center_door|村庄中心的大门。
mno_meet_leader|与村庄长老见面。
mno_meet_leader_door|通往村庄中心的门。
mno_village_buy_food|向村民购买给养。
mno_comprar_cattle|我想买些牛。
mno_village_attack_bandits|进攻强盗。
mno_village_wait|在这里待一会儿。
mno_collect_taxes_qst|{reg5?继续收税:所得税款} 。
mno_train_peasants_against_bandits_qst|训练这些农民。
mno_village_hostile_action|做一些带有敌意的事情。
mno_village_leave|离开……
menu_village_hostile_action|你现在打算做些什么？（你需要20多人的部队）
mno_village_force_convert|强迫村民皈依。
mno_village_take_food|强征给养。
mno_village_steal_cattle|偷一些牛。
mno_enslave_villagers|奴役村民。
mno_village_loot|劫掠这个村子，然后把它夷为平地！
mno_continue_not_enough_gold|我没有足够的钱。
mno_recruit_them|招募他们。({reg6} 先令) 。
menu_village_hunt_down_fugitive_defeated|逃犯的重重一击让你天旋地转，并昏倒在地上。时间飞逝，当你再次睁开眼睛时，发现自己伤痕累累，但幸好没有一处是致命伤。
menu_village_confront_contact_defeated|村民的一个重拳把你打趴到了地上，而且你的视觉旋转着并变模糊了。时间飞去，当你再次张开眼睛，你意识到你被殴打了而且流着血，不过幸运的是没有一处伤口是致命的。
menu_village_hunt_lover_defeated|幽灵的一个重拳把你打趴到了地上，而且你的视觉旋转着并变模糊了。时间飞去，当你再次张开眼睛，你意识到你被殴打了而且流着血，不过幸运的是没有一处伤口是致命的。
menu_village_hunt_music_defeated|守卫的一个重拳把你打趴到了地上，而且你的视觉旋转着并变模糊了。时间飞去，当你再次张开眼睛，你意识到你被殴打了而且流着血，不过幸运的是没有一处伤口是致命的。
menu_village_infestation_removed|经过足以令人传诵的英勇的战斗，你和你的同伴打败了强盗。这个村子再次安全了。经过他们的抢劫以后，村民几乎没有什么东西剩下了，但他们还是拿出了任何他们有的东西。
