ip_armies_size|部队规模
ip_armies_size_text|你的部队规模，同领主们一样受到以下因素的影响：^^统御：每点增加队伍规模上限5人。招募有统帅能力的伙伴可以帮助你领导部队。^^魅力：每点增加队伍规模上限1人。吸引伙伴跟随你的事业的能力就是魅力。^^声望：每9点增加队伍规模上限1人。声望吸引追随者。^^领地：每座城镇增加队伍规模上限80人，每座城堡增加队伍规模上限40人。领地意味着你有更大的征兵空间。^^记住在海上，你的队伍规模受限于你战船的容量。额外的兵力可以放置在领地作为守备，或者是安排在玩家的避难所（需要建立），或者任意岗哨。
ip_morale|士气
ip_morale_text|士气让部队中的士兵们保持坚忍不拔，勇往直前，和纪律严明的能力和积极性，这些都是他们抵御战斗和行军当中的压力所必需的。这个和士兵们的愉悦度不是一回事情。精锐部队也许会因不满而抱怨战役的艰苦——但是当他们面对如蝗飞矢的时候还是会坚如磐石团结如一。另一方面，一个无微不至给予他的部下任何需求的指挥官，也许反而会发现他们变得软弱，并且在敌人进攻前就望风而逃。^^士气最大的影响是对于部队在战斗中的行为，决斗了士兵与敌人交战时有多凶猛，以及当他们发现战场形势不对时有多想落荒而逃。士气同样影响一支部队的行军速度，越没有动力的队伍跑的就越慢，因为这种情况下部下不会尽力而为，并且经常要停下来休息，所以经常要等掉队的人赶上来。最终，一支士气低下的部队就会有人开小差逃走。^^一些影响士气的因素是很直观的。比如，一个魅力过人并且百战百胜的指挥官可以给他或者她的部下在精神上以极大的鼓舞。给部下提供大量而又丰富食物，并且不拖欠部下佣金的领袖们，表现的很关心他们的士兵的福利，并且不喜欢带领他们深赴险地。^^另外一些因素就不是那么直观了——特别是那些涉及部队的团队凝聚力方面的。例如，在一支精兵队伍里，个个都会和优势兵力的敌人艰苦作战毫不畏缩，因为你的胆小与否别人都能看得到。相对的面对一支庞大的队伍你也许就会看到其内部团结有问题，这是由于指挥官没有更多的时间来监督部下，倾听他们的抱怨，并且解决他们之间的争端。频繁的战事将使战士们团结，而长时间的无所事事会使士兵们变得无聊和相互争吵。^^通过点击“报告”按钮来显示的士气报告，将给玩家显示哪些因素正在影响他或她部下的士气。
ip_economy|经济
ip_economy_text|北地的城镇和村庄为了其人口的正常生存和生产都需要非常多样化的商品。民以食为天。谷物是北地的主要农作物，但是人们还需要肉类，鱼类和奶酪提供的脂肪和蛋白质。而第一时间里将肉类妥善保存起来的工作差不多和生产肉类一样繁重，因此食盐的需求也很巨大。要解决温饱还需要衣服：厚重的羊毛，轻盈的亚麻，或者奢华的天鹅绒。最后，人们还需要用于贸易的各种物品：铁器，陶器，皮革制品，当然，还有，用于战争的武器，盔甲，以及马匹。^^大多数农业产品产自于村庄，而城镇里的工匠则专门从事于制造品或者手工艺品比如织物或者铁器。同样的，不同的资源产自于国家的不同行当。因此，北地繁荣的关键是贸易——不但是村庄和城镇之间，还包括那些主要城镇本身之间。^^当贸易流通时，商品将能够被使用和消费，该地区的人口将会健康而又愉悦，并且会有移居者从附近地区聚集过来。该地区将会生产更多，消费更多，进而能够给他们的领主贡献更多的税金。当贸易停滞，城镇和村庄的工人就会离开去别处找工作，而经济活动也将停止。从而，为了统治者的利益得去保护贸易路线免遭战争和匪患的威胁。可是，一个精明的商人，会希望搜索到与北地其它地方隔离的城镇，因为他或者她也许能够从不平衡的价格之中获得相当可观的收益。^^因为村民总是把他们出产的商品运往城镇的市场，村庄的市场通常没什么生意，而村民们总是贱买贵卖。正经的商人都待在城镇里做买卖，虽然有些队伍会不时在村庄稍作停留做些补给。^^一个玩家如果要想知道哪些因素影响着某个地区的繁荣度可以去问问城镇广场上的镇长。别的信息可以从路人那里收集到，尽管他们也许不太清楚他们自己特定贸易以外的东西。
ip_courtship|求爱
ip_courtship_text|玩家们也许希望和北地的世家贵族联姻。婚姻并不是玩家在北地施展自己的本领和才干所必须的，但是这提供给了玩家增进和领主们的关系以及确立对王位主张的机会。^^结婚的条件对于男性和女性玩家是不同的。一个男性角色通常需要进行传统方式的求爱。他需要在北地贵族圈里建立自己的声望，要和他新娘的父母或者监护人相处融洽，并且按照当地习俗向女孩求爱。如果某个玩家变得不耐烦起来，他可以试图走捷径——但是会对他和其他领主之间的关系产生后果。^^一个男性角色得记住其他领主会为了王国的闺秀和他竞争。同样，女孩子的小考验也是随时随地的，而玩家也许会发现他求爱的对象到头来并不爱他。浪漫史，在北地，和在其它地方一样，有情人不一定总成眷属。当然，玩家也可以使用别的，不太绅士的手段赢得女孩子的心，但是同样的，那会对他的名声带来严重的影响。^^要开始一段求爱的旅程，男性玩家需要试着融入北地贵族的社交生活，出席宴会和竞技大会。同样，流浪的歌手和诗人可以成为获得求爱信息的有用的知识库，并且能让玩家随时知道当下人们都在谈论些什么。^^女性玩家也可以结婚——但是她们得记住北地的社会非常传统，而且，作为冒险者，她们选择了一条非常反传统的女性之路。一名女性角色也许要好好找找某个思想足够开放的领主来娶她。^^作为好的一面，一名女性角色不需要经过冗繁的求爱礼仪，并且她同样可以从婚姻中比她的男性配偶得到的更多。作为一名女性冒险家，婚姻可以成为通往权力的捷径——而一名不择手段的角色也许会把她的丈夫当作她实现政治野心的工具。
ip_politics|政治
ip_politics_text|北地诸国，尽管拥有各自不同的文化，但都实行着一个早于封建制的政治体系。在日耳曼社会中，最高的统治者是国王。而国王是由贵族组成的议会选举产生。王国所有的土地都属于国王，国王则把土地分给贵族和对王国有贡献的人。但这些土地并不是他们的私有的，在他们死后，都会被收归国王。贵族们以国王的名义确保每块领地的统治和公正，并在战时带领征召兵前往战场。为了这个目的，贵族们又把土地分给那些能够发展农村经济的自由民。而这些平时种田畜牧的人又得向他们的领主赋税并履行一些义务，诸如兵役，城堡建设等活动。^^这种情况很普遍，各级贵族们也是如此。而逐渐强大的修道院则对它的教区实行自治。^^不同的是，在凯尔特社会中（盖尔，威尔士和皮克特），他们更注重血缘，氏族。是一个由一群拥有相同祖先的同族人组成的独立社会。^^当北地的某个国家和别国开战，各个王国内部在政治上是否团结，严重影响到其能够决定战争结果的士兵的质量和数量。在一个团结的王国，贵族们会联合在一起成为一股强大的力量扫除他们面前的对手。在一个因为喋喋不休的争论而四分五裂的王国里，领主们将不听从元帅的召集，或者在一场战役如果进行的并不顺利的时候四散而去忙他们自己的事情。一个阵营政治上的凝聚力还会在战役没有进行的情况下导致军事冲突。在一个分裂的阵营，领主们在出击和巡逻的时候不大愿意联合行动，还有共同防御。^^如果发现领主们在敌人出现在地平线上的时候因为斗嘴和争论而要弄巧成拙，记住——从根本上讲，一名贵族的忠诚不是对于特定的阵营或者文化，而是对于他自己以及他的家族。如果一个贵族担心他的阵营崩溃，或者是他正在被他的君主忽视，他通常会找个理由撤销他效忠的宣誓，然后投奔别处。玩家要记住这一点，因为你有机会让心中不满的前敌人转变成盟友。
ip_character_backgrounds|角色背景
ip_character_backgrounds_text|进入北地的玩家可以选择来自不同的社会背景。这个选择不仅仅会影响到他或她的起始技能和装备，还会影响到他或者她的冒险生涯。^^北地的战事和政治传统性地归男性贵族所支配。一名男性贵族玩家角色会发现他很快就在这个“大男子”俱乐部里如鱼得水，而女性和平民身份则会在奋斗之路上遇到额外的障碍。如果你选择作为一名男性贵族来开始开始游戏，你可以看作是以“简单”难度来开始游戏。以女性贵族或者男性平民开始则要难度高一点，而以女性平民开局则可能是以最具挑战的方式开始游戏。^^尽管这样，女性也有开局的优势。很明显的就是招兵，一名女性勇士自身很能引人注意，这样她能够比男性更快地树立自己的名声。同样地，按照惯例女的也比男的要更容易通过婚姻通往社会高层，并且女的可以通过战略婚姻联盟比她的男性配偶获得的更多。^^最后，记住这游戏里，英雄不问出处，王侯将相，宁有种乎。不论贵族还是平民，男性还是女性，结婚还是单身——任何人都有可能成为北地的统治者，如果他们足够勇敢，幸运或者智慧的话。
ip_military_campaigns|军事战争
ip_military_campaigns_text|当北地诸王国开始战事，他们的军队有两种基本的进攻方式。他们会试图进攻村庄并摧毁它，破坏敌人的声望和经济。或者，他们可以试图夺取并占据城堡或者城镇，扩张领土。这第二种方式包括长期，血腥的围攻，但是能产生更有决定性的成果。^^得记住很重要的一点在北地的国家里没有按照统治者要求常驻各处的常备军。相对的，不列颠各国由权臣贵族及其各自从属所招募的封建佣兵所保护。有时候，这些贵族私自发动对敌人领土的进攻，但决定性的攻击总是发生在大规模军团被召集的时候。各个王国的元帅，一名由国王指派的贵族，会在战役开始前召集军团并率领他们投入战斗。然而，他也需要注意别让他们过于恋战。否则，军团就会开始瓦解，因为那些领主会各自离开去忙他们自己的事情，而大军就会变得容易遭受对方的反击。^^因此，在北地，战争的节奏通常就像是两个单独的战斗者之间的决斗一样。一方会纠集自己的力量寻求对敌方领土的一次猛攻。如果元帅仓促间集结领主们的时间过短，他就不能实施任何有效的攻击。如果他花的时间过长，那战役也许会在还没开始之前就结束。大国对小国拥有优势，就像一名强壮的战士比弱小的对手要厉害，但是一个国家政治上的凝聚力也不能忽视，就像一个耐力过人的斗士会比他的对手活得更久。有时候，两个国家的军队会迎头碰上，军队的士气和数量将决定这场大决战的结果。^^王国们对于其敌人总是缺乏情报。进攻方的领主需要频繁地侦查敌人的领土来决定哪个要塞也许易于攻击。守卫本土的军队会有从城堡和城镇得到警报的优势，它们会传播敌人在其附近行动的情报。然而，这些情报并不精确，特别是对于敌军的数量方面。解围或者援救村庄的防守方也许能击败一支没有准备的进攻部队——或者失算，成为被打败的一方。而对于进攻方，必须要小心他们深入敌后有多远，而好战的元帅要比谨慎的元帅更冒险。^^玩家会期望加入其阵营的军事战役，比如加入军团，或者打头阵去敌人领土侦查。某些玩家也许会发现他们国家的元帅个人风格太谨慎了，或者太好战了。这种情况下，他们可以串通其他领主来试图更换元帅，或者寻求支持来自己当上元帅。^^大部分战争持续有限的一段时间。一名想要开战的国王，为了荣耀，觉得有义务短时间里解决冲突。然而，除非他狠揍了敌人一顿。他也许很快开始寻求平息冲突的途径，以免自己暴露在第三方部队的攻击威胁之下。北地的统治者们都清楚地明白今天的盟友也许明天就会成为敌人，反之亦然。
ip_siege_warfare|攻城战
ip_siege_warfare_text|在《维京征服》中，攻城战将为你准确的再现中世纪攻城战争，当玩家围城和准备进攻时，有两种方法可以获胜：一种是把敌人粮草消耗殆尽（饥饿、疾病……），另一种是全歼敌人……在围城模式中，玩家的主要任务是防止敌人的盟友进行增援或粮草增援，同时可以命令部下进行降低敌人士气、传染疾病或破坏粮草储备等行动。围城模式需要较长时间，但是对于部队伤亡较小。而在强攻模式中，玩家可以直接采取行动，并可以使用攻城梯、攻城盾等攻城武器，同时玩家还以选择挑衅行为（焚烧外城建筑和城墙) 。强攻模式可以快速占领城市，但此种模式消耗部队较多。另外，如果目标城镇靠近大海有码头时，玩家还可以组建一个舰队从海上攻击目标城镇。总之新的攻城模式的娱乐性和特点难以在这里详细描述，最好的方法是你亲自进入游戏体验，欢迎来到维京征服攻城战模式！
ip_sea_travel|航海
ip_sea_travel_text|"世界地图上港口之间的渡轮可以运输你的队伍。当你的队伍规模不大时，这是很便宜的方式，随着你队伍规模的增加，费用也会相应增加。^^如果需要在海上做远距离航行，你可以在两座港口城镇之间完成。你可以在城镇菜单中选择或者通过和港口城镇中的造船师对话来开始旅行。同渡轮一样，费用取决于你的队伍规模。^^当你拥有了你自己的战船时，你可以通过点击城镇目录中的""起航""来搭乘你的船。随后你会回到世界地图中，不过你是在船上而不是在马上。在海上航行和在陆上行军很类似。^^游戏中有两种登陆方式。你可以通过点击港口或者登陆点的方式回到岸上。要想找到一个登陆点，你需要尽可能靠近海岸航行，或者右键点击你的军团，选择""寻找最近的登陆点""选项。在港口中，点击登陆点停靠你的船只。不管何种情况，你的船都会停靠在你登陆的地方。^^"
ip_sea_battle|海战
ip_sea_battle_text|"在开始享受海上生活的某个时刻，你会参与到海战中来。^^首先，你需要明白如何控制你的战船。你可以通过箭头，给出前进、快速前进、后退和原地待命的命令。指示箭头会依照这些指令做出上下变化。你也可以给出直行、右舵、右满舵、左舵、左满舵的指令，左右箭头会根据指令做出变化。^^当前的指令会通过箭头显示在你船只的右上角。按回车键起航，按BACKSPACE 键获得战术视野。尝试这些指令，来获得操纵船只的感觉，并感受风的影响。^^当你足够靠近敌人的舰船时，将准备开始登陆。战船会撞到一起，并打响战斗。^如果你足够幸运，你会在获胜后俘获敌人的旗舰。^^在海战中，当你拥有不止一艘船，你可以做出""原地待命""或者""冲锋""的指令，这些指令在第九条""队列部署""选项下。你的军队列表中第一支队伍，会跟随你一起登陆你的旗舰。其他的队伍则会登上余下的船只。你可以在港口或者在海上扎营时更改你的旗舰。^^当你有一支相当大的舰队，你可以从海上袭击城镇。想要如此做，只需要到达并点击敌人港口城镇，就会出现攻击选项，而不需要先登陆才能发动攻击。"
ip_ship_info|船只
ip_ship_info_text|"迟早你都会想要买一艘船。有好几个理由支持你如此做。从长远来看，拥有自己的船，是最便宜的航海方式。这给了你足够的在海上移动的自由，并且给你带来了贸易和行军的新机遇。^^从另一个角度说，它也有缺点。首先，一艘船是昂贵不菲的，你可能需要节衣缩食节省出一笔钱来支付它。其次，船只只能装载有数量限制的军队。^^另外一个需要考虑的重要因素是速度，有一艘足够快的船，你可以成功追上敌人或者从他们手里逃脱。船只的速度由它的类型和状态决定。^^船只使用的木料决定它的耐力。橡木船就非常结实耐用，榉木船可能会需要经常修理。^^当你觉得已经是时候购买一艘船的时候，在城镇目录中点击""查看船只""选项，或者和造船师交谈。港口城镇可以最多有3艘船待售，但是有时候可能一艘也没有。待售船只的类型和数量是随着时间增加而变化的。尽管所有的港口城镇都有船只出售，想要找到最好的船，还请去诺尔斯和弗里斯兰的港口。想要查看你的船只，可以在城镇目录下点击""查看船只""选项，或者走到它所在的码头。^^在港口，你可以定制船帆或者给任何橡木船刷漆。有一种特殊的帆只提供给玩家的船，可以用专用的图形编辑器修改（不包括在维京征服）。需要更多的信息，请参见本DLC 中的文件夹。^^当你拥有了自己的船只，造船师会以一种与以往不同的方式同你交互，并且会毫不犹豫提供建议。造船师也提供船只定制服务。但是更好的船只会需求特殊材料，你需要获得它们并提供给造船师。更好的船同样需求更多的时间去建造。优秀的造船师出现在诺尔斯港口。你自己打造的船只，可以在船只自定义目录下自由命名。"
ip_wounds|重伤
ip_wounds_text|在较大城镇的医师可以在获得报酬的前提下为你疗伤，这将花费数天时间，此后所有的负面状态将被移除。如果未得到及时治疗，伤口将转变为疤痕，而负面状态将永久存在。
ip_traits|特性
ip_traits_text|当你达到15级的时候，根据你的技能选择可以得到其中一个特性:^^狂战士：进入狂暴模式后你会在战斗中得到速度和力量加成，这种狂暴状态会让你视野变红。^^激励：这个技能会在战斗中增加你的统御，你的战吼会加强你的部队的战斗力。^^坚韧：这个技能会让你的部队移动得更快，在战斗中增加敏捷。^^强壮：你会一直保持部队的盾墙状态，护甲也会更坚硬，从而使得敌人难以对其造成伤害。^^使用T键来在战场中发动特性。
ip_recruitment|征募系统
ip_recruitment_text|维京征服中不是自动征募，而是取决于一系列的因素。首先，你需要获得许可才能在村庄、城堡、镇子来征募士兵。你需要从村长老或者村子领主那里获得许可，才能够在村庄征募士兵。至于城镇，你需要得到对应领主的许可。^如果你是基督徒，你能在修道院找到一些士兵，也有一定的机会在农场找到愿意跟随你的人。要想获得领主的征募许可，你需要有足够的声望（150+ ），和领主及其阵营的关系也需良好。有几种方式从村长老那里获得许可。高声望（150+ ）、高关系（15+ ）或是任何时候贿赂村长老都行。贿赂有可能会不奏效，所以你可以多贿赂几次。获得许可后，只要你和这里的关系一直维持良好，就可以随便征募。（重要：因为关系降低，你的征募权可被撤销，）。在村庄你只能征募第一层次的士兵。如果你和这里有着足够高的关系（60+），那你就可以征募第二层次的士兵。如果^你拥有了这个村庄，当你和村庄关系高于20时，就有50%的机会能够征募第二层次的士兵。如果你和村庄的关系够高（30+），就有30%的机会征募到第三层次的士兵。你所能征募的最大数量取决于你和^这里的关系、你的领袖技能、你的魅力、你的信仰以及村庄的主导信仰，这点和你是否拥有这个村庄没有关系。
ip_wages|工资
ip_wages_text|维京征服里的部队工资主要受到玩家领导能力的影响。对于更高级的兵种，玩家的说服技能可能会很有用处，这取决于你的技能等级。对于法外之徒的兵种，比如强盗和维京海盗，玩家的声望值则有不同的作用，如果玩家的名声低于恶名昭著，那么他们的工资将打折扣。
ip_skills|技能和属性
ip_skills_text|当你在维京征服里创造或发展一名角色时，你需要注意角色的技能和属性。技能，比如说服或领导，对于交易、工资以及与领主和贵族小姐的互动非常关键。属性，比如智力和魅力，对于上述活动也很重要，还会影响到你的婚姻和领导能力。^^至于海上，则有三项重要的技能：“提督”、“导航”以及“掠夺”。^^提督技能水平决定了你所能控制的船只数量。在等级一时，你可以控制两艘船。当提高到等级四时，你所能控制的船只达到最大值，即七艘。^^导航技能允许你在海上更快地移动，相当于陆上的追踪技能（提醒一下，追踪技能对于海路没有帮助）。^^更高的掠夺技能等级将提高你俘虏敌人船只的几率。^
ip_tactical_controls|战术控制
ip_tactical_controls_text|使用数字键来选择队列，按0选择所有部队。^^使用F1-F4来命令已经选定的队列。按住F1来安置所选择的队列。你可以通过如上机制锁定敌人的部队。^^按回车键来启动战略俯视视角。^^按BACKSPACE 键来启动带雷达的战斗命令提示。^^按H 键来唤马（需求骑术至少4点）。^^按Z 键蹲下。^^按住攻击键时按下防御键，可以嘲讽对手。^^按住防御键时按下攻击键，可以打出一个盾击。^^在联机模式中，按住Q键并且按下防御键，可以让你嘲讽对手。
ip_division_placement|队列部署
ip_division_placement_text|当仅选定了一支队列时，其前列的中心选定为标记的点。^^当选定了不止一支队列时，他们会以玩家为标记的点分散开来。^^你可以通过F2，F7来部署选定的队列。默认的队列部署是步兵在左翼，骑兵在右翼，列队前进。玩家可以通过队列部署选项菜单来选择亲自领队取代所有的既定队列部署。^^如果已经设置了营地菜单，所有队列会轮流迎敌。否则，他们会保持玩家的队列部署。
ip_formations|阵型
ip_formations_text|战斗菜单中的阵型如下：^^- 长蛇阵，最好的队伍将会被放置在前列。^- 盾墙阵，持盾的战士将会被放置在前列，长武器会在其后掩护。^- 楔形阵，最好的队伍会被放置在前列。^- 方形阵，没有特定的顺序。^- 无阵型。^^即使是在无阵型的情况下，玩家也可以通过命令队伍紧密站队来将他们组织成四行。
ip_dog_companion|犬类同伴
ip_dog_companion_text|当你在四处徘徊神游时，如果突然听见一阵犬吠，并且很幸运的随身带着一根香肠。这就将开启一段友谊。你的犬类同伴会不离你左右，即便是在战场上，并且你可以为他命名。（在战场上，你的狗会被放置在队列9。）给它好的食物，你的犬类同伴的技能和能力可以提高。
ip_rents|地租
ip_rents_text|你的每个领地都会生产地租。从长远来看，地租是平均且稳定的，但是支付频率是变动的。有时候你每周都能获得地租，但是也有些时候好几周你都会一无所获。如果地租没有在正常时间交付，在你的财务决算中会标注出你应获而未支付的地租。如果村庄或者城镇被劫掠乃至洗劫一空。你的财务决算中会标注出当前无可用地租。当你的领地从劫掠中恢复正常，会继续产生地租。地租会受到繁荣度、特殊建筑、宗教信仰、税率和游戏难度的影响。特殊建筑可以在领地遭到劫掠后仍然继续产生地租。
ip_quarters|岗哨
ip_quarters_text|岗哨可以让你放置一些你的队伍在大地图上的特定地点。你可以最多拥有两个岗哨。^^在以下情况下，岗哨会很有用：^- 当你需要乘船，但是你付不起所有人的船票。^- 当你的船的容量不足以一次承载你队伍中所有人。^- 当你需要潜行进一座城镇。^- 当你需要快速行军。
